"","X1","age","sex","education","pes19_votechoice2019","vote_liberal","vote_conservative","vote_bloc","vote_ndp","vote_green","vote_ppc","vote_other","vote_spoil","age_cat"
"1148",1191,47,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1149",1192,48,"Female","Below Bachelors","Bloc Qu̩b̩cois",0,0,1,0,0,0,0,0,"[30,50)"
"1150",1193,47,"Male","Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1151",1194,73,"Male","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[65,Inf)"
"1152",1195,73,"Male","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1153",1196,73,"Male","High School","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1154",1197,72,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1155",1198,30,"Female","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1156",1199,65,"Male","Below High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1157",1200,54,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1158",1202,62,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1159",1203,76,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1160",1204,29,"Female","Below Bachelors","People's Party",0,0,0,0,0,1,0,0,"[18,30)"
"1161",1205,35,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[30,50)"
"1162",1206,57,"Female","High School","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1163",1207,40,"Female","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1164",1208,35,"Female","Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1165",1209,41,"Female","Bachelors","Green Party",0,0,0,0,1,0,0,0,"[30,50)"
"1166",1210,43,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[30,50)"
"1167",1211,65,"Male","Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1168",1212,36,"Female","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[30,50)"
"1169",1213,67,"Male","Below High School","NDP",0,0,0,1,0,0,0,0,"[65,Inf)"
"1170",1214,70,"Female","High School","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1171",1215,55,"Female","High School","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
"1172",1216,64,"Male","Graduate Degree","Conservative Party",0,1,0,0,0,0,0,0,"[50,65)"
"1173",1217,50,"Male","Below Bachelors","NDP",0,0,0,1,0,0,0,0,"[50,65)"
"1174",1219,71,"Female","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1175",1220,68,"Male","Below Bachelors","Conservative Party",0,1,0,0,0,0,0,0,"[65,Inf)"
"1176",1221,68,"Male","Below Bachelors","Liberal Party",1,0,0,0,0,0,0,0,"[65,Inf)"
"1177",1222,59,"Male","Graduate Degree","Liberal Party",1,0,0,0,0,0,0,0,"[50,65)"
